고객ID,feature
200142280,"[0.0, 0.0, 0.0, 0.14376977976387584, 0.0, 0.0, 0.8562302202361242, 0.0]"
200142870,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200143625,"[0.0, 0.0, 0.0, 0.6374149604193892, 0.0, 0.0, 0.15052992393819786, 0.21205511564241292]"
200144394,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200145002,"[0.0, 0.0, 0.0, 0.18275793075730112, 0.6194216693283343, 0.0, 0.0, 0.1978203999143645]"
200148011,"[0.20204645316335457, 0.0, 0.0, 0.28586235115112635, 0.0, 0.0, 0.2654739997001456, 0.2466171959853735]"
200149985,"[0.0, 0.0, 0.0, 0.3082619745958234, 0.36039781031971774, 0.0, 0.2503065121510376, 0.08103370293342135]"
200151461,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200151834,"[0.3091964930737366, 0.17430880261606932, 0.0, 0.07559334096446758, 0.13176135275347345, 0.0, 0.07266006348599917, 0.23647994710625386]"
200152090,"[0.0, 0.3968228901042423, 0.0, 0.0, 0.0, 0.5241751251986636, 0.0, 0.0790019846970942]"
200152760,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200153161,"[0.0, 0.6220291428827709, 0.0, 0.05874719750377654, 0.0, 0.0, 0.0, 0.3192236596134525]"
200154688,"[0.18556140100829355, 0.18875874421593214, 0.0, 0.06477960065046225, 0.32991541781378675, 0.0, 0.16459519381792703, 0.06638964249359824]"
200156198,"[0.0, 0.0, 0.0, 0.21738253053561188, 0.7826174694643883, 0.0, 0.0, 0.0]"
200156830,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200158277,"[0.0, 0.0, 0.0, 0.26906700985936743, 0.7309329901406326, 0.0, 0.0, 0.0]"
200164305,"[0.0, 0.0, 0.0, 0.16179716156333715, 0.3832512697952253, 0.0, 0.1671657354435398, 0.2877858331978978]"
200164463,"[0.0, 0.0, 0.0, 0.636970799049094, 0.0, 0.0, 0.0, 0.36302920095090596]"
200165292,"[0.0, 0.0, 0.0, 0.42745811997270466, 0.0, 0.0, 0.40298455753018275, 0.16955732249711267]"
200168945,"[0.0, 0.0, 0.0, 0.04398592518808146, 0.0, 0.0, 0.8850113554996053, 0.07100271931231333]"
200171526,"[0.0, 0.0, 0.0, 0.528260230145655, 0.0, 0.0, 0.0, 0.471739769854345]"
200172138,"[0.0, 0.0, 0.0, 0.4212637823458562, 0.0, 0.0, 0.0, 0.5787362176541438]"
200172408,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200172979,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200173076,"[0.0, 0.0, 0.0, 0.29822798826957897, 0.0, 0.0, 0.0, 0.701772011730421]"
200173157,"[0.0, 0.0, 0.0, 0.07282505130012384, 0.7311384897264738, 0.0, 0.13703604190228266, 0.05900041707111959]"
200173427,"[0.0, 0.1758046152999428, 0.0, 0.44761760529273603, 0.1355336257333871, 0.0, 0.06759855745630287, 0.17344559621763128]"
200173481,"[0.0, 0.0, 0.0, 0.03243574622296399, 0.0, 0.0, 0.6720323444776731, 0.29553190929936274]"
200173596,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200174706,"[0.0, 0.0, 0.0, 0.13100076485862971, 0.46698941230066593, 0.0, 0.2999961400259328, 0.10201368281477154]"
200175745,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
